Geography,Quarterly_Establishments,July_Employment,August_Employment,September_Employment,Total_Quarterly_Wages,Average_Weekly_Wage,September_Employment_Location_Quotient,Total_Quarterly_Wages_Location_Quotient
"Northwest Arctic Borough, Alaska",165,"2,953","2,984","2,993","57,797,573","1,494",1,1
"Petersburg Borough, Alaska",164,"1,541","1,502","1,515","19,075,211",966,1,1
"Prince of Wales-Hyder Census Area, Alaska",243,"2,297","2,404","2,470","27,688,019",891,1,1
"Sitka City and Borough, Alaska",360,"5,032","5,194","4,797","65,198,974","1,002",1,1
"Skagway Municipality, Alaska",130,"1,613","1,582","1,430","16,619,827",829,1,1
"Southeast Fairbanks Census Area, Alaska",247,"2,554","2,609","2,533","44,321,361","1,329",1,1
"Valdez-Cordova Census Area, Alaska",570,"6,826","6,856","5,773","91,615,713","1,087",1,1
"Wrangell City and Borough, Alaska",96,914,880,881,"9,907,714",855,1,1
"Yakutat City and Borough, Alaska",41,312,327,319,"3,983,915",960,1,1
"Yukon-Koyukuk Census Area, Alaska",269,"2,252","2,282","2,310","25,074,737",845,1,1
"Unknown Or Undefined, Alaska",752,"1,744","1,688","1,683","29,677,543","1,339",1,1
Arizona,"165,402","2,800,234","2,903,559","2,918,332","38,002,216,085","1,017",1,1
"Apache County, Arizona",614,"16,718","18,161","18,003","200,589,276",875,1,1
"Cochise County, Arizona","2,276","32,272","34,039","34,330","408,554,853",937,1,1
"Coconino County, Arizona","3,412","61,492","62,992","63,693","708,013,398",868,1,1
"Gila County, Arizona",971,"14,545","14,992","15,038","159,106,938",824,1,1
"Graham County, Arizona",553,"8,529","9,361","9,550","99,449,062",836,1,1
"Greenlee County, Arizona",97,"5,126","5,244","5,203","83,987,403","1,245",1,1
"La Paz County, Arizona",355,"6,000","6,092","6,064","59,750,420",759,1,1
"Maricopa County, Arizona","105,259","1,994,257","2,066,181","2,073,766","28,151,102,899","1,059",1,1
"Mohave County, Arizona","3,817","49,643","51,371","51,195","493,090,122",748,1,1
"Navajo County, Arizona","1,652","25,239","27,588","27,621","271,560,507",779,1,1
"Pima County, Arizona","19,004","361,720","374,529","376,697","4,506,449,274",934,1,1
"Pinal County, Arizona","3,236","60,439","62,672","62,708","694,509,579",863,1,1
"Santa Cruz County, Arizona","1,153","12,183","12,862","12,761","162,016,599",989,1,1
"Yavapai County, Arizona","5,813","63,069","65,556","65,754","661,230,806",785,1,1
"Yuma County, Arizona","3,298","56,878","59,065","63,077","606,092,212",781,1,1
"Unknown Or Undefined, Arizona","13,892","32,124","32,854","32,872","736,712,737","1,737",1,1
Arkansas,"92,100","1,175,546","1,205,919","1,221,762","13,137,382,774",841,1,1
"Arkansas County, Arkansas",869,"10,105","10,316","10,259","106,133,906",798,1,1
"Ashley County, Arkansas",585,"6,375","6,517","6,518","72,104,958",857,1,1
"Baxter County, Arkansas","1,231","14,358","14,555","14,884","131,860,976",695,1,1
"Benton County, Arkansas","6,766","120,104","121,631","123,513","1,605,431,737","1,014",1,1
"Boone County, Arkansas",968,"13,580","13,734","14,276","133,051,073",738,1,1
"Bradley County, Arkansas",365,"3,529","3,593","3,819","32,659,151",689,1,1
"Calhoun County, Arkansas",106,"3,178","3,164","3,124","45,594,872","1,112",1,1
"Carroll County, Arkansas",788,"10,870","11,174","11,215","86,044,056",597,1,1
"Chicot County, Arkansas",500,"2,886","3,007","3,000","25,795,011",669,1,1
"Clark County, Arkansas",671,"8,852","9,192","9,464","82,691,319",694,1,1
"Clay County, Arkansas",373,"3,048","3,177","3,117","24,413,803",603,1,1
"Cleburne County, Arkansas",658,"6,180","6,322","6,448","52,281,076",637,1,1
"Cleveland County, Arkansas",133,873,"1,039","1,056","8,823,319",686,1,1
"Columbia County, Arkansas",707,"7,642","7,984","8,224","80,147,833",775,1,1
"Conway County, Arkansas",545,"6,200","6,547","6,687","64,499,655",766,1,1
"Craighead County, Arkansas","2,859","50,001","51,343","53,001","529,466,281",792,1,1
"Crawford County, Arkansas","1,273","18,849","19,847","19,837","176,767,197",697,1,1
"Crittenden County, Arkansas","1,216","15,399","16,019","16,598","149,270,731",717,1,1
"Cross County, Arkansas",486,"4,573","4,885","4,866","40,436,717",651,1,1
"Dallas County, Arkansas",236,"2,596","2,671","2,658","21,374,983",622,1,1
"Desha County, Arkansas",529,"4,395","4,628","4,685","42,608,372",717,1,1
"Drew County, Arkansas",557,"6,160","6,269","6,535","56,395,455",686,1,1
"Faulkner County, Arkansas","2,907","39,534","40,303","41,734","413,602,758",785,1,1
"Franklin County, Arkansas",397,"4,558","4,850","4,859","42,530,080",688,1,1
"Fulton County, Arkansas",212,"1,992","2,013","2,134","15,651,713",588,1,1
"Garland County, Arkansas","3,064","36,799","37,482","37,711","343,330,096",707,1,1
"Grant County, Arkansas",360,"4,081","4,212","4,276","42,478,653",780,1,1
"Greene County, Arkansas",895,"15,191","15,413","15,721","146,071,376",728,1,1
"Hempstead County, Arkansas",531,"7,379","7,542","7,808","68,760,736",698,1,1
"Hot Spring County, Arkansas",615,"8,043","8,200","8,260","73,652,731",694,1,1
"Howard County, Arkansas",366,"6,347","6,606","6,745","55,812,036",654,1,1
"Independence County, Arkansas",926,"15,482","15,620","16,307","150,285,797",732,1,1
"Izard County, Arkansas",254,"2,873","3,108","3,140","24,143,723",611,1,1
"Jackson County, Arkansas",439,"4,897","5,193","5,174","47,415,698",717,1,1
"Jefferson County, Arkansas","2,050","26,183","26,884","27,183","277,925,712",799,1,1
"Johnson County, Arkansas",489,"7,932","8,021","8,443","66,128,394",626,1,1
"Lafayette County, Arkansas",172,"1,086","1,097","1,132","8,325,020",580,1,1
"Lawrence County, Arkansas",415,"3,561","3,831","3,927","31,033,846",633,1,1
"Lee County, Arkansas",270,"1,801","1,839","1,873","15,285,408",640,1,1
"Lincoln County, Arkansas",293,"2,715","2,868","2,851","25,014,842",684,1,1
"Little River County, Arkansas",259,"3,258","3,291","3,487","39,438,974",907,1,1
"Logan County, Arkansas",504,"4,914","5,158","5,154","41,166,059",624,1,1
"Lonoke County, Arkansas","1,328","13,304","14,254","13,696","116,439,056",651,1,1
"Madison County, Arkansas",271,"3,111","3,454","3,490","28,826,443",662,1,1
"Marion County, Arkansas",292,"3,816","3,892","3,989","30,126,973",594,1,1
"Miller County, Arkansas",881,"12,702","13,044","13,492","127,693,836",751,1,1
"Mississippi County, Arkansas","1,109","17,067","17,588","17,922","217,348,290",954,1,1
"Monroe County, Arkansas",284,"1,970","2,037","2,055","16,259,735",619,1,1
"Montgomery County, Arkansas",173,"1,223","1,275","1,288","8,685,653",529,1,1
"Nevada County, Arkansas",210,"2,489","2,529","2,497","23,070,360",708,1,1
"Newton County, Arkansas",126,970,"1,068","1,058","6,920,854",516,1,1
"Ouachita County, Arkansas",668,"6,412","6,520","6,795","57,389,384",671,1,1
"Perry County, Arkansas",153,958,"1,121","1,142","9,057,767",649,1,1
"Phillips County, Arkansas",744,"5,029","5,205","5,314","42,173,397",626,1,1
"Pike County, Arkansas",268,"2,482","2,644","2,651","20,466,262",607,1,1
"Poinsett County, Arkansas",499,"4,935","5,159","5,188","48,508,216",733,1,1
"Polk County, Arkansas",496,"5,631","5,906","5,918","47,155,522",623,1,1
"Pope County, Arkansas","1,854","24,732","25,108","25,712","265,678,752",812,1,1
"Prairie County, Arkansas",264,"1,330","1,482","1,491","12,062,117",647,1,1
"Pulaski County, Arkansas","14,553","247,500","250,895","249,506","3,119,759,163",963,1,1
"Randolph County, Arkansas",401,"5,697","5,864","5,971","47,824,097",629,1,1
"St. Francis County, Arkansas",689,"6,960","7,255","7,245","68,624,550",738,1,1
"Saline County, Arkansas","2,117","23,441","24,783","24,885","222,457,794",702,1,1
"Scott County, Arkansas",193,"2,816","2,894","3,063","23,005,833",605,1,1
"Searcy County, Arkansas",179,"1,470","1,562","1,550","10,949,207",551,1,1
"Sebastian County, Arkansas","3,726","62,904","64,412","64,348","694,244,032",836,1,1
"Sevier County, Arkansas",328,"4,602","4,788","4,831","38,855,043",631,1,1
"Sharp County, Arkansas",391,"3,290","3,283","3,557","23,830,447",543,1,1
"Stone County, Arkansas",280,"2,544","2,679","2,653","19,758,059",579,1,1
"Union County, Arkansas","1,294","16,312","16,959","17,247","199,085,087",909,1,1
"Van Buren County, Arkansas",346,"3,230","3,378","3,478","28,212,898",646,1,1
"Washington County, Arkansas","6,308","105,722","109,188","110,873","1,244,178,300",881,1,1
"White County, Arkansas","1,831","22,532","23,784","24,141","222,664,403",729,1,1
"Woodruff County, Arkansas",202,"1,628","1,736","1,749","15,703,221",709,1,1
"Yell County, Arkansas",427,"6,067","6,245","6,518","50,708,056",621,1,1
"Unknown Or Undefined, Arkansas","11,376","32,291","32,783","34,746","533,753,834","1,234",1,1
California,"1,596,489","17,510,693","17,670,620","17,726,715","300,005,588,340","1,309",1,1
"Alameda County, California","65,745","788,037","792,373","795,121","15,354,211,706","1,492",1,1
"Alpine County, California",84,599,613,596,"7,040,104",899,1,1
"Amador County, California","1,174","12,319","12,593","12,465","140,693,228",869,1,1
"Butte County, California","8,556","79,236","82,024","83,338","917,826,493",866,1,1
"Calaveras County, California","1,354","9,891","10,264","10,106","103,512,421",789,1,1
"Colusa County, California",881,"9,719","10,771","10,390","113,247,186",846,1,1
"Contra Costa County, California","33,626","363,761","369,935","369,302","6,261,372,849","1,310",1,1
"Del Norte County, California",833,"8,122","8,192","8,387","82,623,023",772,1,1
"El Dorado County, California","5,657","58,069","58,741","58,394","734,220,115",967,1,1
"Fresno County, California","37,806","400,506","405,949","409,750","4,505,431,691",855,1,1
"Glenn County, California","1,240","9,425","9,574","10,036","104,173,085",828,1,1
"Humboldt County, California","5,950","50,429","50,495","51,495","525,508,252",796,1,1
"Imperial County, California","7,962","60,459","60,657","62,582","651,481,160",818,1,1
"Inyo County, California",746,"7,835","7,915","7,938","88,138,019",859,1,1
"Kern County, California","21,147","322,829","346,363","346,570","3,991,127,671",907,1,1
"Kings County, California","4,314","47,154","49,436","50,126","552,787,148",869,1,1
"Lake County, California","3,248","16,622","17,371","16,921","168,299,501",763,1,1
"Lassen County, California",737,"9,598","9,938","10,065","121,967,514",951,1,1
"Los Angeles County, California","508,841","4,453,145","4,485,820","4,512,698","71,324,684,034","1,224",1,1
"Madera County, California","4,557","49,592","52,629","53,329","584,399,375",867,1,1
"Marin County, California","12,570","115,492","116,926","116,590","2,009,203,835","1,329",1,1
"Mariposa County, California",545,"6,023","6,096","6,025","63,335,145",806,1,1
"Mendocino County, California","4,297","31,953","32,727","32,987","342,740,562",810,1,1
"Merced County, California","6,791","79,957","82,987","85,350","916,378,762",852,1,1
"Modoc County, California",392,"2,676","2,790","2,743","28,409,175",799,1,1
"Mono County, California",662,"7,691","7,685","7,298","79,322,485",807,1,1
"Monterey County, California","14,240","212,243","215,026","214,316","2,602,676,343",936,1,1
"Napa County, California","5,940","82,133","82,259","82,556","1,153,372,386","1,078",1,1
"Nevada County, California","3,768","32,119","32,393","31,952","379,289,265",907,1,1
"Orange County, California","126,694","1,643,966","1,640,233","1,650,939","25,766,974,515","1,205",1,1
"Placer County, California","13,737","172,427","173,973","173,190","2,480,203,027","1,102",1,1
"Plumas County, California",920,"7,159","7,210","7,008","78,049,947",843,1,1
"Riverside County, California","68,588","752,611","757,296","757,444","8,648,619,470",880,1,1
"Sacramento County, California","61,534","676,056","679,349","681,785","10,424,313,698","1,181",1,1
"San Benito County, California","1,649","17,641","18,129","18,377","224,604,923",957,1,1
"San Bernardino County, California","63,026","769,624","766,808","771,397","9,284,264,429",928,1,1
"San Diego County, California","115,309","1,479,095","1,488,846","1,491,789","23,096,926,152","1,195",1,1
"San Francisco County, California","61,650","758,302","766,385","765,220","22,578,197,569","2,275",1,1
"San Joaquin County, California","18,546","255,810","261,349","260,965","3,158,238,351",937,1,1
"San Luis Obispo County, California","10,604","118,058","118,896","119,747","1,462,797,240",946,1,1
"San Mateo County, California","28,957","418,562","420,846","420,075","12,886,726,151","2,361",1,1
"Santa Barbara County, California","15,675","205,639","207,596","209,106","2,808,123,982","1,041",1,1
"Santa Clara County, California","74,883","1,117,183","1,127,103","1,122,877","35,646,408,113","2,443",1,1
"Santa Cruz County, California","9,682","110,509","111,453","109,757","1,424,117,573",991,1,1
"Shasta County, California","7,268","66,488","68,338","68,110","775,391,233",882,1,1
"Sierra County, California",132,562,535,608,"5,499,960",744,1,1
"Siskiyou County, California","1,771","14,040","14,296","14,414","150,788,726",814,1,1
"Solano County, California","11,815","141,832","143,097","144,480","2,130,882,145","1,145",1,1
"Sonoma County, California","20,436","208,967","213,579","214,924","3,009,200,011","1,089",1,1
"Stanislaus County, California","16,307","195,118","196,857","197,428","2,420,374,695",948,1,1
"Sutter County, California","3,418","33,025","35,029","33,411","355,747,755",809,1,1
"Tehama County, California","2,013","18,171","19,115","19,629","208,313,292",845,1,1
"Trinity County, California",483,"2,861","3,012","2,866","29,687,587",784,1,1
"Tulare County, California","11,467","164,045","168,658","169,772","1,714,599,223",787,1,1
"Tuolumne County, California","1,686","18,007","18,097","17,851","203,457,788",870,1,1
"Ventura County, California","27,925","325,834","328,181","329,564","4,528,736,305","1,063",1,1
"Yolo County, California","7,039","109,160","109,420","108,594","1,697,735,211","1,197",1,1
"Yuba County, California","1,698","17,837","18,279","18,492","245,858,211","1,039",1,1
"Unknown Or Undefined, California","47,914","364,470","368,113","367,470","8,653,278,525","1,815",1,1
Colorado,"212,767","2,764,536","2,772,997","2,750,742","42,019,946,375","1,170",1,1
"Adams County, Colorado","11,759","228,684","230,094","228,877","3,254,411,902","1,092",1,1
"Alamosa County, Colorado",615,"8,421","8,395","8,606","83,740,039",760,1,1
"Arapahoe County, Colorado","23,207","338,250","337,987","335,849","5,630,191,302","1,284",1,1
"Archuleta County, Colorado",608,"4,451","4,472","4,394","42,258,194",732,1,1
"Baca County, Colorado",115,"1,164","1,086","1,080","9,706,698",673,1,1
"Bent County, Colorado",99,"1,170","1,193","1,184","10,728,039",698,1,1
"Boulder County, Colorado","16,203","189,522","190,139","189,620","3,821,225,959","1,549",1,1
"Broomfield County, Colorado","2,970","41,164","41,282","40,826","881,587,960","1,650",1,1
"Chaffee County, Colorado","1,084","9,109","8,915","8,181","86,283,415",760,1,1
"Cheyenne County, Colorado",94,709,687,693,"7,678,418",848,1,1
"Clear Creek County, Colorado",386,"3,159","3,114","2,962","37,271,222",931,1,1
"Conejos County, Colorado",185,"1,570","1,619","1,613","12,744,553",612,1,1
"Costilla County, Colorado",105,"1,067","1,057","1,028","8,057,776",590,1,1
"Crowley County, Colorado",65,"1,051","1,067","1,089","13,559,314",976,1,1
"Custer County, Colorado",160,834,843,834,"6,951,895",639,1,1
"Delta County, Colorado",928,"8,772","8,828","8,802","82,024,788",717,1,1
"Denver County, Colorado","35,415","532,669","535,284","533,849","9,506,676,248","1,370",1,1
"Dolores County, Colorado",91,568,557,578,"5,217,747",707,1,1
"Douglas County, Colorado","12,975","133,212","133,017","130,972","2,130,819,837","1,238",1,1
"Eagle County, Colorado","3,589","34,585","34,505","33,028","412,798,118",933,1,1
"Elbert County, Colorado",714,"4,017","3,945","3,798","43,551,541",855,1,1
"El Paso County, Colorado","21,134","284,948","286,573","285,220","3,712,267,598","1,000",1,1
"Fremont County, Colorado",955,"14,115","14,058","13,775","164,349,979",904,1,1
"Garfield County, Colorado","2,747","27,329","27,133","26,482","341,273,175",973,1,1
"Gilpin County, Colorado",185,"4,800","4,690","4,605","54,345,547",890,1,1
"Grand County, Colorado",897,"8,265","8,124","7,413","77,068,057",747,1,1
"Gunnison County, Colorado","1,234","9,389","9,330","8,907","93,976,586",785,1,1
"Hinsdale County, Colorado",85,360,349,309,"2,665,896",604,1,1
"Huerfano County, Colorado",181,"1,764","1,705","1,708","15,559,020",694,1,1
"Jackson County, Colorado",91,636,635,627,"6,339,668",771,1,1
"Jefferson County, Colorado","21,243","244,805","246,742","244,224","3,665,159,566","1,150",1,1
"Kiowa County, Colorado",50,474,512,504,"4,550,706",705,1,1
"Kit Carson County, Colorado",302,"2,967","2,870","2,832","27,495,338",732,1,1
"Lake County, Colorado",248,"2,399","2,379","2,395","26,911,879",866,1,1
"La Plata County, Colorado","2,716","27,156","26,996","26,541","309,410,980",885,1,1
"Larimer County, Colorado","12,926","169,037","168,803","167,577","2,221,216,626","1,014",1,1
"Las Animas County, Colorado",606,"5,047","5,084","5,055","49,112,836",746,1,1
"Lincoln County, Colorado",166,"2,283","2,236","2,146","24,480,000",848,1,1
"Logan County, Colorado",647,"7,821","7,834","7,882","86,654,522",850,1,1
"Mesa County, Colorado","5,144","63,947","64,670","64,345","741,971,811",887,1,1
"Mineral County, Colorado",75,648,638,524,"4,376,691",558,1,1
"Moffat County, Colorado",455,"4,676","4,629","4,690","59,289,376",978,1,1
"Montezuma County, Colorado",948,"9,589","9,626","9,454","89,641,674",722,1,1
"Montrose County, Colorado","1,455","15,739","15,760","15,753","163,355,895",798,1,1
"Morgan County, Colorado",835,"12,672","12,756","12,571","149,327,643",907,1,1
"Otero County, Colorado",523,"6,245","6,291","6,223","58,000,650",714,1,1
"Ouray County, Colorado",353,"2,296","2,249","2,070","20,859,049",728,1,1
"Park County, Colorado",576,"2,741","2,744","2,630","28,200,058",802,1,1
"Phillips County, Colorado",173,"1,781","1,739","1,688","16,857,945",747,1,1
"Pitkin County, Colorado","1,885","17,164","17,095","15,876","219,830,043","1,012",1,1
"Prowers County, Colorado",396,"4,604","4,629","4,586","41,559,548",694,1,1
"Pueblo County, Colorado","3,574","62,156","62,715","62,923","718,181,069",883,1,1
"Rio Blanco County, Colorado",265,"2,964","2,977","2,914","38,679,200","1,008",1,1
"Rio Grande County, Colorado",440,"4,281","4,240","4,501","43,032,019",763,1,1
"Routt County, Colorado","1,881","15,925","15,849","15,000","179,256,149",884,1,1
"Saguache County, Colorado",208,"1,714","1,731","1,924","15,318,134",658,1,1
"San Juan County, Colorado",87,478,466,438,"3,226,085",539,1,1
"San Miguel County, Colorado",712,"6,094","6,046","5,819","62,742,946",806,1,1
"Sedgwick County, Colorado",91,795,814,835,"7,323,675",692,1,1
"Summit County, Colorado","2,394","21,308","21,097","20,144","230,756,414",851,1,1
"Teller County, Colorado",958,"7,683","7,855","7,584","78,141,831",780,1,1
"Washington County, Colorado",148,"1,181","1,193","1,168","13,302,148",867,1,1
"Weld County, Colorado","8,010","115,667","116,362","116,210","1,586,234,922","1,051",1,1
"Yuma County, Colorado",429,"4,103","3,974","4,043","41,301,057",786,1,1
"Unknown Or Undefined, Colorado","2,972","20,342","20,713","20,764","438,857,399","1,638",1,1
Connecticut,"123,482","1,662,470","1,657,714","1,677,518","26,773,922,334","1,236",1,1
"Fairfield County, Connecticut","36,933","419,464","415,025","417,881","8,003,537,217","1,475",1,1
"Hartford County, Connecticut","29,277","508,089","508,062","513,650","8,313,805,034","1,254",1,1
"Litchfield County, Connecticut","6,207","62,111","61,613","62,122","725,036,037",900,1,1
"Middlesex County, Connecticut","5,562","70,200","69,733","69,571","987,266,073","1,087",1,1
"New Haven County, Connecticut","25,346","363,279","363,930","370,638","5,194,047,241","1,092",1,1
"New London County, Connecticut","7,781","122,375","122,091","122,910","1,669,438,556","1,049",1,1
"Tolland County, Connecticut","3,343","38,945","39,199","41,898","510,520,080",981,1,1
"Windham County, Connecticut","3,072","38,147","38,217","39,290","426,385,278",851,1,1
"Unknown Or Undefined, Connecticut","5,961","39,860","39,844","39,558","943,886,818","1,826",1,1
Delaware,"34,707","460,524","458,547","454,244","6,409,902,560","1,077",1,1
"Kent County, Delaware","4,437","67,763","67,426","68,478","786,797,442",891,1,1
"New Castle County, Delaware","21,507","295,051","294,040","292,627","4,582,139,231","1,199",1,1
"Sussex County, Delaware","7,567","90,475","89,966","86,114","904,088,921",783,1,1
"Unknown Or Undefined, Delaware","1,196","7,235","7,115","7,025","136,876,966","1,478",1,1
District of Columbia,"41,316","778,140","773,435","776,919","18,671,197,634","1,850",1,1
District of Columbia,"41,301","778,071","773,367","776,856","18,669,148,601","1,850",1,1
"Unknown Or Undef., District of Columbia",15,69,68,63,"2,049,033","2,364",1,1
Florida,"721,057","8,677,253","8,851,068","8,846,596","108,923,784,256",953,1,1
