Geography,Quarterly_Establishments,July_Employment,August_Employment,September_Employment,Total_Quarterly_Wages,Average_Weekly_Wage,September_Employment_Location_Quotient,Total_Quarterly_Wages_Location_Quotient
"Sumter County, Alabama",240,"2,965","2,861","2,935","28,855,526",760,1,1
"Talladega County, Alabama","1,392","29,463","29,370","29,404","333,453,299",872,1,1
"Tallapoosa County, Alabama",845,"12,997","13,067","13,210","111,491,682",655,1,1
"Tuscaloosa County, Alabama","4,580","94,049","93,502","93,291","1,046,608,234",860,1,1
"Walker County, Alabama","1,383","18,200","18,344","18,532","171,127,492",717,1,1
"Washington County, Alabama",259,"3,627","3,593","3,636","55,400,765","1,178",1,1
"Wilcox County, Alabama",242,"2,850","2,835","2,846","29,802,465",806,1,1
"Winston County, Alabama",487,"7,855","7,962","8,015","72,956,000",706,1,1
"Unknown Or Undefined, Alabama","13,363","53,103","52,004","52,848","894,707,979","1,307",1,1
Alaska,"21,799","314,390","328,171","336,452","4,415,360,359","1,041",1,1
"Aleutians East Borough, Alaska",100,"2,299","1,270","2,072","24,070,826",985,1,1
"Aleutians West Census Area, Alaska",169,"3,634","2,396","3,138","44,110,095","1,110",1,1
"Anchorage Municipality, Alaska","8,181","147,419","150,739","150,669","2,146,725,864","1,104",1,1
"Bethel Census Area, Alaska",345,"6,735","6,906","7,461","74,655,891",816,1,1
"Bristol Bay Borough, Alaska",121,"1,028","1,600","2,182","17,855,407",857,1,1
"Denali Borough, Alaska",146,"1,215","2,811","3,597","26,772,641",810,1,1
"Dillingham Census Area, Alaska",159,"2,438","2,491","3,413","29,189,751",807,1,1
"Fairbanks North Star Borough, Alaska","2,268","36,036","37,625","36,959","482,011,933","1,006",1,1
"Haines Borough, Alaska",159,867,"1,086","1,266","9,382,779",673,1,1
"Hoonah-Angoon Census Area, Alaska",132,659,913,"1,085","8,088,037",702,1,1
"Juneau City and Borough, Alaska","1,118","16,924","18,315","18,349","227,968,211",982,1,1
"Kenai Peninsula Borough, Alaska","2,012","18,458","20,386","21,575","244,345,213",933,1,1
"Ketchikan Gateway Borough, Alaska",584,"6,780","7,780","8,330","88,019,694",887,1,1
"Kodiak Island Borough, Alaska",496,"5,794","5,967","6,103","64,331,834",831,1,1
"Kusilvak Census Area, Alaska",138,"2,313","2,335","2,393","17,052,357",559,1,1
"Lake and Peninsula Borough, Alaska",123,861,"1,018","1,279","10,046,198",734,1,1
"Matanuska-Susitna Borough, Alaska","2,153","22,904","24,423","24,340","258,419,431",832,1,1
"Nome Census Area, Alaska",303,"3,802","3,873","3,912","50,341,189","1,003",1,1
"North Slope Borough, Alaska",242,"11,737","11,667","11,673","277,107,079","1,823",1,1
"Northwest Arctic Borough, Alaska",160,"2,802","2,845","2,759","49,877,409","1,369",1,1
"Petersburg Borough, Alaska",164,"1,123","1,174","1,328","12,195,334",776,1,1
"Prince of Wales-Hyder Census Area, Alaska",232,"2,134","2,190","2,577","24,503,594",819,1,1
"Sitka City and Borough, Alaska",363,"4,011","4,386","4,577","49,334,816",878,1,1
"Skagway Municipality, Alaska",134,657,"1,343","1,585","10,803,491",695,1,1
"Southeast Fairbanks Census Area, Alaska",255,"2,413","2,533","2,674","41,748,657","1,264",1,1
"Valdez-Cordova Census Area, Alaska",553,"4,434","5,005","5,984","68,510,644","1,025",1,1
"Wrangell City and Borough, Alaska",92,879,920,905,"9,139,024",780,1,1
"Yakutat City and Borough, Alaska",43,282,304,288,"3,022,500",798,1,1
"Yukon-Koyukuk Census Area, Alaska",261,"2,309","2,372","2,496","21,960,059",706,1,1
"Unknown Or Undefined, Alaska",593,"1,443","1,498","1,483","23,770,401","1,240",1,1
Arizona,"158,110","2,818,014","2,812,672","2,771,703","35,428,936,877",973,1,1
"Apache County, Arizona",591,"18,108","17,982","18,025","197,255,028",841,1,1
"Cochise County, Arizona","2,281","34,362","34,465","34,131","386,755,747",867,1,1
"Coconino County, Arizona","3,359","62,660","63,617","63,058","662,914,150",808,1,1
"Gila County, Arizona",967,"14,924","15,039","14,696","155,152,248",802,1,1
"Graham County, Arizona",533,"9,280","9,310","8,955","98,738,413",827,1,1
"Greenlee County, Arizona",100,"4,843","4,890","5,018","85,575,481","1,339",1,1
"La Paz County, Arizona",362,"5,877","5,881","5,846","55,277,098",725,1,1
"Maricopa County, Arizona","97,664","1,986,176","1,984,151","1,952,571","26,086,866,695","1,016",1,1
"Mohave County, Arizona","3,722","50,487","50,623","50,125","487,086,996",743,1,1
"Navajo County, Arizona","1,636","26,711","27,368","27,136","264,501,235",752,1,1
"Pima County, Arizona","18,545","369,050","368,783","364,409","4,225,495,656",885,1,1
"Pinal County, Arizona","3,170","62,383","62,263","61,412","669,938,970",831,1,1
"Santa Cruz County, Arizona","1,170","13,664","13,619","13,293","153,771,794",875,1,1
"Yavapai County, Arizona","5,660","65,440","65,260","64,843","642,601,199",758,1,1
"Yuma County, Arizona","3,197","65,017","60,199","59,141","621,564,013",778,1,1
"Unknown Or Undefined, Arizona","15,153","29,032","29,222","29,044","635,442,154","1,680",1,1
Arkansas,"90,115","1,214,667","1,221,013","1,215,656","13,036,682,739",824,1,1
"Arkansas County, Arkansas",792,"9,618","9,649","9,791","100,539,410",798,1,1
"Ashley County, Arkansas",566,"6,620","6,706","6,697","71,024,818",819,1,1
"Baxter County, Arkansas","1,249","15,037","15,079","15,196","132,202,568",673,1,1
"Benton County, Arkansas","6,561","119,937","120,093","120,380","1,606,290,017","1,029",1,1
"Boone County, Arkansas",978,"14,104","14,173","14,189","138,214,959",751,1,1
"Bradley County, Arkansas",362,"3,885","3,871","3,822","34,171,277",681,1,1
"Calhoun County, Arkansas",104,"2,985","3,019","3,038","39,647,213","1,012",1,1
"Carroll County, Arkansas",814,"10,527","10,887","11,036","80,821,179",575,1,1
"Chicot County, Arkansas",503,"2,974","3,052","3,012","24,590,782",628,1,1
"Clark County, Arkansas",659,"9,397","9,375","9,263","81,534,600",671,1,1
"Clay County, Arkansas",385,"3,396","3,444","3,418","26,006,521",585,1,1
"Cleburne County, Arkansas",654,"6,362","6,459","6,592","54,119,277",643,1,1
"Cleveland County, Arkansas",133,"1,070","1,079","1,087","8,539,151",609,1,1
"Columbia County, Arkansas",697,"7,912","7,969","7,903","78,141,909",758,1,1
"Conway County, Arkansas",535,"6,467","6,572","6,544","62,626,885",738,1,1
"Craighead County, Arkansas","2,861","50,860","51,323","51,233","492,493,526",741,1,1
"Crawford County, Arkansas","1,252","19,671","19,754","19,737","174,368,266",680,1,1
"Crittenden County, Arkansas","1,205","16,389","16,396","15,748","150,971,274",718,1,1
"Cross County, Arkansas",487,"4,886","4,847","4,889","41,748,391",659,1,1
"Dallas County, Arkansas",238,"2,673","2,688","2,744","22,283,477",634,1,1
"Desha County, Arkansas",556,"4,622","4,687","4,718","41,183,253",678,1,1
"Drew County, Arkansas",544,"6,475","6,516","6,524","61,260,516",724,1,1
"Faulkner County, Arkansas","2,878","40,890","40,852","40,584","422,010,003",796,1,1
"Franklin County, Arkansas",373,"4,692","4,697","4,686","41,596,307",682,1,1
"Fulton County, Arkansas",205,"1,973","2,026","2,044","15,915,698",608,1,1
"Garland County, Arkansas","3,073","37,835","37,273","37,783","340,071,564",695,1,1
"Grant County, Arkansas",339,"4,109","4,152","4,267","41,244,258",760,1,1
"Greene County, Arkansas",912,"15,576","15,630","15,563","145,916,179",720,1,1
"Hempstead County, Arkansas",523,"7,924","7,930","7,960","71,751,261",695,1,1
"Hot Spring County, Arkansas",628,"8,317","8,397","8,308","76,090,877",702,1,1
"Howard County, Arkansas",377,"7,116","7,083","7,030","58,536,711",636,1,1
"Independence County, Arkansas",907,"15,731","16,058","16,028","154,754,199",747,1,1
"Izard County, Arkansas",263,"3,057","3,080","3,017","25,459,349",642,1,1
"Jackson County, Arkansas",440,"5,116","5,193","5,185","46,929,485",699,1,1
"Jefferson County, Arkansas","2,088","27,646","27,750","27,288","280,447,317",783,1,1
"Johnson County, Arkansas",497,"8,653","8,681","8,651","72,971,761",648,1,1
"Lafayette County, Arkansas",170,"1,221","1,226","1,216","9,759,404",615,1,1
"Lawrence County, Arkansas",417,"4,046","3,983","3,989","34,620,975",665,1,1
"Lee County, Arkansas",281,"1,899","1,920","1,909","15,903,863",641,1,1
"Lincoln County, Arkansas",301,"2,842","2,887","2,907","24,099,892",644,1,1
"Little River County, Arkansas",258,"3,349","3,369","3,394","41,305,235",943,1,1
"Logan County, Arkansas",513,"5,228","5,353","5,429","44,454,154",641,1,1
"Lonoke County, Arkansas","1,295","13,945","14,069","14,142","123,915,681",678,1,1
"Madison County, Arkansas",271,"3,425","3,389","3,375","28,779,453",652,1,1
"Marion County, Arkansas",291,"3,781","3,802","3,835","28,776,621",582,1,1
"Miller County, Arkansas",901,"12,878","12,950","13,108","130,653,272",774,1,1
"Mississippi County, Arkansas","1,121","17,676","17,733","17,575","223,170,047",972,1,1
"Monroe County, Arkansas",300,"2,029","2,041","2,084","16,612,119",623,1,1
"Montgomery County, Arkansas",178,"1,357","1,399","1,469","10,468,606",572,1,1
"Nevada County, Arkansas",200,"2,475","2,513","2,490","23,587,207",728,1,1
"Newton County, Arkansas",132,"1,078","1,104","1,080","7,456,336",527,1,1
"Ouachita County, Arkansas",669,"6,966","7,026","6,982","62,869,041",692,1,1
"Perry County, Arkansas",144,"1,165","1,189","1,178","10,004,564",654,1,1
"Phillips County, Arkansas",755,"5,548","5,609","5,547","46,855,535",647,1,1
"Pike County, Arkansas",270,"2,635","2,647","2,676","21,317,610",618,1,1
"Poinsett County, Arkansas",512,"5,260","5,256","5,239","48,398,765",709,1,1
"Polk County, Arkansas",517,"5,854","5,995","5,896","48,139,102",626,1,1
"Pope County, Arkansas","1,849","26,231","26,522","26,047","278,594,531",816,1,1
"Prairie County, Arkansas",257,"1,467","1,499","1,491","12,130,017",628,1,1
"Pulaski County, Arkansas","14,359","250,346","251,978","252,064","3,011,893,106",921,1,1
"Randolph County, Arkansas",404,"5,660","5,806","5,754","46,854,458",628,1,1
"St. Francis County, Arkansas",714,"7,433","7,442","7,480","69,776,586",720,1,1
"Saline County, Arkansas","2,026","24,652","24,877","25,184","227,019,820",701,1,1
"Scott County, Arkansas",184,"3,080","3,088","3,107","24,535,036",610,1,1
"Searcy County, Arkansas",180,"1,533","1,688","1,708","10,694,298",501,1,1
"Sebastian County, Arkansas","3,732","65,937","65,733","65,291","685,769,722",803,1,1
"Sevier County, Arkansas",322,"4,825","4,912","4,892","41,541,068",655,1,1
"Sharp County, Arkansas",394,"3,671","3,719","3,739","26,415,257",548,1,1
"Stone County, Arkansas",278,"2,666","2,718","2,790","19,869,586",561,1,1
"Union County, Arkansas","1,309","17,356","17,553","17,546","209,128,689",920,1,1
"Van Buren County, Arkansas",347,"3,601","3,632","3,656","32,497,662",689,1,1
"Washington County, Arkansas","6,136","108,271","108,934","108,312","1,223,890,697",868,1,1
"White County, Arkansas","1,807","24,135","24,162","23,891","228,071,386",729,1,1
"Woodruff County, Arkansas",207,"1,714","1,716","1,733","15,005,725",671,1,1
"Yell County, Arkansas",429,"6,656","6,688","6,649","54,513,870",629,1,1
"Unknown Or Undefined, Arkansas","10,047","36,274","36,446","32,847","500,859,505","1,095",1,1
California,"1,542,901","17,256,788","17,386,282","17,461,566","285,563,063,354","1,265",1,1
"Alameda County, California","64,044","783,722","787,631","793,656","14,527,007,066","1,417",1,1
"Alpine County, California",79,656,542,589,"6,026,573",778,1,1
"Amador County, California","1,157","12,129","12,420","12,473","135,035,103",842,1,1
"Butte County, California","8,602","84,454","85,270","84,185","877,105,699",797,1,1
"Calaveras County, California","1,336","9,679","9,787","9,903","97,066,757",763,1,1
"Colusa County, California",840,"9,171","9,863","9,812","108,986,754",872,1,1
"Contra Costa County, California","32,474","369,028","370,805","371,623","6,142,696,705","1,275",1,1
"Del Norte County, California",808,"8,200","8,349","8,479","79,000,080",728,1,1
"El Dorado County, California","5,506","56,607","56,432","58,792","689,375,473",926,1,1
"Fresno County, California","36,038","387,158","396,190","400,637","4,255,031,535",829,1,1
"Glenn County, California","1,177","9,006","9,098","9,126","94,173,256",798,1,1
"Humboldt County, California","5,703","50,104","50,731","50,826","505,518,082",769,1,1
"Imperial County, California","7,527","62,705","64,802","65,107","627,478,770",752,1,1
"Inyo County, California",734,"7,450","7,529","7,740","80,495,737",818,1,1
"Kern County, California","19,457","318,049","326,698","327,013","3,664,341,215",870,1,1
"Kings County, California","4,022","47,712","49,019","47,948","505,570,439",806,1,1
"Lake County, California","3,212","16,381","16,702","16,869","157,727,103",729,1,1
"Lassen County, California",721,"9,558","9,804","9,995","114,438,351",900,1,1
"Los Angeles County, California","493,104","4,419,929","4,431,580","4,441,467","67,827,357,811","1,177",1,1
"Madera County, California","4,289","48,158","50,940","50,914","529,771,752",815,1,1
"Marin County, California","12,381","115,448","116,103","117,754","2,150,894,329","1,421",1,1
"Mariposa County, California",522,"5,468","5,781","6,081","55,171,603",735,1,1
"Mendocino County, California","4,212","32,502","33,122","33,616","321,958,955",749,1,1
"Merced County, California","6,654","79,295","82,429","81,899","835,548,965",791,1,1
"Modoc County, California",366,"2,436","2,598","2,749","23,818,507",706,1,1
"Mono County, California",638,"7,349","6,762","7,282","67,256,815",726,1,1
"Monterey County, California","13,902","194,831","205,069","212,107","2,396,768,844",904,1,1
"Napa County, California","5,846","78,266","80,509","81,277","1,079,049,497","1,037",1,1
"Nevada County, California","3,663","31,302","31,188","32,188","348,702,297",850,1,1
"Orange County, California","121,782","1,624,146","1,625,729","1,628,893","24,453,632,792","1,157",1,1
"Placer County, California","13,135","166,994","167,473","169,646","2,272,772,989","1,040",1,1
"Plumas County, California",878,"6,056","6,601","7,015","67,489,995",792,1,1
"Riverside County, California","65,450","736,740","738,662","740,332","8,176,730,273",852,1,1
"Sacramento County, California","58,660","660,770","666,123","667,212","9,811,747,532","1,135",1,1
"San Benito County, California","1,596","17,177","17,329","17,495","207,242,938",920,1,1
"San Bernardino County, California","59,940","745,060","748,009","749,858","8,566,718,402",881,1,1
"San Diego County, California","111,404","1,460,578","1,464,435","1,471,811","21,674,854,427","1,138",1,1
"San Francisco County, California","60,538","733,972","737,024","741,997","19,963,678,318","2,082",1,1
"San Joaquin County, California","17,959","250,875","256,593","254,278","2,928,804,506",887,1,1
"San Luis Obispo County, California","10,399","118,777","119,901","120,311","1,414,144,716",909,1,1
"San Mateo County, California","28,138","399,485","400,780","405,924","12,310,149,284","2,355",1,1
"Santa Barbara County, California","15,389","200,664","203,860","205,201","2,711,114,568","1,026",1,1
"Santa Clara County, California","72,765","1,088,993","1,096,146","1,104,237","36,701,814,948","2,575",1,1
"Santa Cruz County, California","9,442","102,781","106,314","109,948","1,360,955,368",984,1,1
"Shasta County, California","7,039","66,120","67,025","67,801","704,636,045",809,1,1
"Sierra County, California",125,475,542,559,"4,466,330",654,1,1
"Siskiyou County, California","1,753","13,721","14,088","14,765","141,332,129",766,1,1
"Solano County, California","11,559","140,747","141,758","142,892","1,980,747,951","1,075",1,1
"Sonoma County, California","20,092","209,465","211,755","212,364","2,776,915,796","1,011",1,1
"Stanislaus County, California","15,874","189,337","193,405","192,348","2,202,872,383",884,1,1
"Sutter County, California","3,258","30,601","32,043","33,861","335,721,773",803,1,1
"Tehama County, California","1,878","18,398","18,555","19,057","198,532,766",818,1,1
"Trinity County, California",425,"2,621","2,771","2,966","26,368,977",728,1,1
"Tulare County, California","10,716","165,291","171,813","170,447","1,623,493,985",738,1,1
"Tuolumne County, California","1,620","17,357","17,521","17,964","188,343,280",823,1,1
"Ventura County, California","27,335","331,454","332,650","330,870","4,459,419,430","1,034",1,1
"Yolo County, California","6,760","103,768","104,888","105,824","1,558,871,165","1,144",1,1
"Yuba County, California","1,671","17,698","18,022","18,134","232,879,002",998,1,1
"Unknown Or Undefined, California","46,307","379,914","386,714","385,449","8,203,237,213","1,643",1,1
Colorado,"204,819","2,652,545","2,657,544","2,705,250","37,351,628,057","1,075",1,1
"Adams County, Colorado","11,318","209,480","211,081","214,286","2,802,404,209","1,019",1,1
"Alamosa County, Colorado",629,"8,272","8,374","8,383","76,613,588",706,1,1
"Arapahoe County, Colorado","22,390","329,972","332,145","335,860","5,194,137,881","1,201",1,1
"Archuleta County, Colorado",592,"4,096","4,294","4,548","35,909,868",641,1,1
"Baca County, Colorado",117,"1,095","1,102","1,119","8,336,557",580,1,1
"Bent County, Colorado",101,"1,077","1,077","1,119","9,454,024",667,1,1
"Boulder County, Colorado","15,673","181,836","182,946","185,723","2,945,831,356","1,235",1,1
"Broomfield County, Colorado","2,891","39,532","39,697","40,128","823,523,758","1,592",1,1
"Chaffee County, Colorado","1,040","7,785","8,187","8,919","69,410,738",644,1,1
"Cheyenne County, Colorado",90,687,693,723,"6,747,045",740,1,1
"Clear Creek County, Colorado",382,"3,072","3,090","3,015","34,036,273",856,1,1
"Conejos County, Colorado",175,"1,440","1,570","1,602","11,464,262",574,1,1
"Costilla County, Colorado",98,888,929,992,"7,025,920",577,1,1
"Crowley County, Colorado",64,"1,104","1,104","1,088","9,465,794",663,1,1
"Custer County, Colorado",147,788,808,875,"6,476,627",605,1,1
"Delta County, Colorado",910,"8,421","8,556","8,800","71,885,933",644,1,1
"Denver County, Colorado","33,412","517,127","518,793","524,916","8,587,871,969","1,270",1,1
"Dolores County, Colorado",84,522,555,557,"4,215,398",595,1,1
"Douglas County, Colorado","12,367","124,087","125,633","128,337","1,918,092,822","1,171",1,1
"Eagle County, Colorado","3,529","33,592","29,225","32,527","346,694,215",839,1,1
"Elbert County, Colorado",685,"3,671","3,748","3,947","38,995,989",792,1,1
"El Paso County, Colorado","20,255","274,173","276,558","279,045","3,365,598,500",936,1,1
"Fremont County, Colorado",944,"13,461","13,791","14,090","124,243,528",694,1,1
"Garfield County, Colorado","2,664","25,556","26,334","27,350","310,901,885",905,1,1
"Gilpin County, Colorado",170,"4,867","4,845","4,900","52,586,733",831,1,1
"Grand County, Colorado",885,"7,548","6,620","7,801","65,322,493",686,1,1
"Gunnison County, Colorado","1,215","8,144","7,988","9,035","75,651,335",694,1,1
"Hinsdale County, Colorado",84,223,253,348,"1,943,279",544,1,1
"Huerfano County, Colorado",185,"1,672","1,735","1,778","14,515,094",646,1,1
"Jackson County, Colorado",88,571,591,645,"5,504,383",703,1,1
"Jefferson County, Colorado","20,564","237,840","239,555","242,195","3,374,550,889","1,082",1,1
"Kiowa County, Colorado",55,468,486,498,"4,110,719",653,1,1
"Kit Carson County, Colorado",299,"2,782","2,837","2,912","25,057,885",678,1,1
"Lake County, Colorado",249,"2,307","2,173","2,267","23,154,184",792,1,1
"La Plata County, Colorado","2,666","26,176","26,496","26,968","291,381,421",844,1,1
"Larimer County, Colorado","12,499","160,748","162,476","165,607","1,972,090,802",931,1,1
"Las Animas County, Colorado",586,"4,970","4,993","4,963","46,148,235",713,1,1
"Lincoln County, Colorado",165,"2,242","2,265","2,318","19,468,917",658,1,1
"Logan County, Colorado",664,"8,006","8,035","7,997","73,178,867",703,1,1
"Mesa County, Colorado","4,971","62,437","63,146","63,203","671,506,264",821,1,1
"Mineral County, Colorado",70,642,470,596,"3,687,024",498,1,1
"Moffat County, Colorado",467,"4,716","4,856","4,916","58,090,430",925,1,1
"Montezuma County, Colorado",939,"9,181","9,432","9,588","87,491,794",716,1,1
"Montrose County, Colorado","1,400","15,188","15,399","15,644","146,222,933",730,1,1
"Morgan County, Colorado",818,"12,483","12,499","12,654","137,889,908",845,1,1
"Otero County, Colorado",514,"6,083","6,121","6,229","53,576,322",671,1,1
"Ouray County, Colorado",350,"1,663","1,851","2,203","15,981,500",645,1,1
"Park County, Colorado",559,"2,410","2,543","2,693","22,761,077",687,1,1
"Phillips County, Colorado",167,"1,625","1,666","1,755","15,518,360",710,1,1
"Pitkin County, Colorado","1,843","16,647","13,096","16,130","204,410,007","1,028",1,1
"Prowers County, Colorado",402,"4,427","4,501","4,568","36,666,065",627,1,1
"Pueblo County, Colorado","3,480","61,252","61,921","61,770","640,847,951",800,1,1
"Rio Blanco County, Colorado",263,"2,753","2,753","2,915","33,779,671",926,1,1
"Rio Grande County, Colorado",436,"4,003","4,104","4,196","39,591,770",743,1,1
"Routt County, Colorado","1,817","15,183","13,767","15,509","155,406,896",807,1,1
"Saguache County, Colorado",206,"1,635","1,605","1,612","12,469,329",593,1,1
"San Juan County, Colorado",82,264,349,409,"1,981,751",447,1,1
"San Miguel County, Colorado",717,"5,280","4,046","5,421","49,661,139",777,1,1
"Sedgwick County, Colorado",90,785,788,836,"7,106,367",681,1,1
"Summit County, Colorado","2,328","22,130","18,258","20,424","200,069,799",759,1,1
"Teller County, Colorado",915,"7,266","7,494","7,529","69,961,916",724,1,1
"Washington County, Colorado",160,"1,208","1,230","1,251","12,060,528",754,1,1
"Weld County, Colorado","7,589","109,805","110,376","110,864","1,369,467,830",955,1,1
"Yuma County, Colorado",429,"3,853","3,938","4,008","36,637,435",717,1,1
"Unknown Or Undefined, Colorado","2,876","19,328","19,697","20,146","414,780,616","1,618",1,1
Connecticut,"120,597","1,663,077","1,685,056","1,703,760","26,685,710,072","1,219",1,1
"Fairfield County, Connecticut","35,872","416,972","422,717","429,586","8,184,696,534","1,488",1,1
"Hartford County, Connecticut","28,445","507,742","514,012","518,700","8,137,157,578","1,219",1,1
"Litchfield County, Connecticut","6,124","60,701","62,068","63,455","734,325,003",910,1,1
"Middlesex County, Connecticut","5,318","67,946","69,337","70,886","933,867,876","1,035",1,1
"New Haven County, Connecticut","24,636","365,848","369,424","371,327","5,134,222,284","1,071",1,1
"New London County, Connecticut","7,676","123,247","124,892","126,951","1,648,250,801","1,014",1,1
"Tolland County, Connecticut","3,269","41,129","41,564","41,441","501,358,418",932,1,1
"Windham County, Connecticut","2,908","38,676","39,150","39,398","434,056,460",854,1,1
"Unknown Or Undefined, Connecticut","6,349","40,816","41,892","42,016","977,775,118","1,809",1,1
Delaware,"32,907","444,289","450,290","454,283","5,975,121,177","1,022",1,1
"Kent County, Delaware","4,201","67,011","67,715","67,619","704,671,302",804,1,1
"New Castle County, Delaware","20,362","289,277","291,332","291,306","4,315,267,142","1,142",1,1
"Sussex County, Delaware","7,103","79,483","82,713","86,957","806,058,747",747,1,1
"Unknown Or Undefined, Delaware","1,241","8,518","8,530","8,401","149,123,986","1,352",1,1
District of Columbia,"39,122","771,543","772,418","776,427","17,222,135,150","1,713",1,1
District of Columbia,"39,117","771,540","772,414","776,423","17,222,049,121","1,713",1,1
"Unknown Or Undef., District of Columbia",5,3,4,4,"86,029","1,805",1,1
Florida,"687,093","8,715,566","8,711,030","8,565,360","104,933,413,842",932,1,1
"Alachua County, Florida","7,194","132,904","131,802","129,988","1,500,988,697",878,1,1
