Geography,Quarterly_Establishments,July_Employment,August_Employment,September_Employment,Total_Quarterly_Wages,Average_Weekly_Wage,September_Employment_Location_Quotient,Total_Quarterly_Wages_Location_Quotient
"Van Buren County, Arkansas",333,"3,429","3,486","3,495","31,748,493",704,1,1
"Washington County, Arkansas","6,256","109,749","110,019","109,692","1,290,480,463",904,1,1
"White County, Arkansas","1,823","24,078","24,109","23,859","231,119,716",740,1,1
"Woodruff County, Arkansas",204,"1,700","1,742","1,750","15,053,295",669,1,1
"Yell County, Arkansas",425,"6,622","6,620","6,483","56,128,403",657,1,1
"Unknown Or Undefined, Arkansas","11,074","37,524","37,402","34,051","534,013,098","1,131",1,1
California,"1,575,720","17,523,398","17,671,342","17,718,241","303,636,887,160","1,324",1,1
"Alameda County, California","64,940","790,898","793,179","795,938","15,453,689,483","1,498",1,1
"Alpine County, California",82,882,591,625,"6,643,547",731,1,1
"Amador County, California","1,158","12,164","12,422","12,469","138,907,666",865,1,1
"Butte County, California","8,497","82,180","83,249","81,236","900,658,252",843,1,1
"Calaveras County, California","1,341","9,586","9,811","9,957","102,153,592",803,1,1
"Colusa County, California",869,"9,451","10,129","9,905","102,965,200",806,1,1
"Contra Costa County, California","33,206","368,524","371,433","372,429","6,421,910,108","1,332",1,1
"Del Norte County, California",816,"8,159","8,281","8,460","81,490,345",755,1,1
"El Dorado County, California","5,574","57,267","57,296","58,516","709,774,257",946,1,1
"Fresno County, California","37,288","396,539","406,415","406,731","4,584,728,823",875,1,1
"Glenn County, California","1,232","9,362","9,552","9,701","99,374,100",801,1,1
"Humboldt County, California","5,891","50,976","51,474","51,450","524,638,183",787,1,1
"Imperial County, California","7,850","63,003","65,389","65,411","658,073,852",784,1,1
"Inyo County, California",738,"7,599","7,711","7,833","85,398,062",852,1,1
"Kern County, California","20,689","325,046","332,081","335,553","3,914,133,156",910,1,1
"Kings County, California","4,227","48,588","50,297","49,271","543,497,417",847,1,1
"Lake County, California","3,213","16,882","17,162","17,261","165,094,260",743,1,1
"Lassen County, California",729,"9,614","9,832","10,005","116,705,550",914,1,1
"Los Angeles County, California","503,318","4,476,946","4,504,394","4,501,170","71,496,916,207","1,224",1,1
"Madera County, California","4,489","49,713","52,489","52,490","561,387,648",837,1,1
"Marin County, California","12,432","115,323","116,311","117,556","2,100,140,743","1,388",1,1
"Mariposa County, California",538,"5,412","5,749","5,883","57,188,225",774,1,1
"Mendocino County, California","4,255","32,524","32,998","33,248","334,407,325",781,1,1
"Merced County, California","6,725","78,989","82,519","82,475","886,622,452",839,1,1
"Modoc County, California",383,"2,505","2,727","2,871","25,151,752",716,1,1
"Mono County, California",660,"7,730","7,068","7,340","70,466,756",735,1,1
"Monterey County, California","14,109","197,411","209,670","214,639","2,496,092,390",926,1,1
"Napa County, California","5,899","78,489","81,252","82,434","1,139,140,194","1,085",1,1
"Nevada County, California","3,731","32,285","31,855","32,432","369,136,242",882,1,1
"Orange County, California","124,495","1,647,489","1,653,742","1,656,157","25,641,319,812","1,194",1,1
"Placer County, California","13,524","170,420","171,662","173,249","2,413,783,650","1,081",1,1
"Plumas County, California",907,"6,191","6,804","7,127","72,791,650",835,1,1
"Riverside County, California","67,609","756,930","758,715","761,622","8,693,075,399",881,1,1
"Sacramento County, California","60,679","675,582","679,562","679,526","10,445,353,135","1,185",1,1
"San Benito County, California","1,631","17,516","17,722","17,752","225,034,149",980,1,1
"San Bernardino County, California","62,081","766,009","767,538","770,216","9,234,046,841",925,1,1
"San Diego County, California","113,837","1,482,234","1,487,525","1,492,516","22,897,429,754","1,184",1,1
"San Francisco County, California","61,118","755,698","758,585","760,724","23,977,925,365","2,432",1,1
"San Joaquin County, California","18,371","253,950","262,933","260,221","3,139,753,642",932,1,1
"San Luis Obispo County, California","10,490","120,971","122,103","122,328","1,503,884,584",950,1,1
"San Mateo County, California","28,582","411,452","412,763","417,089","12,750,520,250","2,370",1,1
"Santa Barbara County, California","15,564","206,079","208,853","210,261","2,841,729,105","1,049",1,1
"Santa Clara County, California","73,868","1,109,593","1,114,597","1,122,277","37,883,882,663","2,612",1,1
"Santa Cruz County, California","9,568","104,752","108,579","111,413","1,425,726,003","1,013",1,1
"Shasta County, California","7,188","67,009","68,121","68,810","744,646,015",843,1,1
"Sierra County, California",130,508,575,596,"5,253,316",722,1,1
"Siskiyou County, California","1,751","13,588","14,092","14,653","145,092,489",791,1,1
"Solano County, California","11,761","143,236","144,059","144,567","2,179,394,784","1,165",1,1
"Sonoma County, California","20,301","209,578","212,327","212,340","2,939,474,080","1,070",1,1
"Stanislaus County, California","16,107","191,449","195,724","194,812","2,344,598,699",930,1,1
"Sutter County, California","3,352","31,239","32,924","34,273","349,596,284",820,1,1
"Tehama County, California","1,970","18,531","18,891","19,368","210,382,187",855,1,1
"Trinity County, California",471,"2,735","2,898","3,044","27,697,670",737,1,1
"Tulare County, California","11,249","165,958","171,792","171,574","1,724,452,806",781,1,1
"Tuolumne County, California","1,669","17,600","17,861","18,044","197,617,259",852,1,1
"Ventura County, California","27,648","334,458","336,081","335,034","4,651,191,695","1,067",1,1
"Yolo County, California","6,912","106,614","108,104","108,664","1,646,956,075","1,175",1,1
"Yuba County, California","1,686","18,036","18,338","18,550","239,261,740","1,005",1,1
"Unknown Or Undefined, California","46,322","373,946","374,536","376,145","8,938,530,272","1,834",1,1
Colorado,"210,480","2,710,554","2,721,650","2,766,234","40,075,784,659","1,128",1,1
"Adams County, Colorado","11,600","221,496","223,404","227,474","3,103,025,458","1,065",1,1
"Alamosa County, Colorado",613,"8,389","8,473","8,457","79,341,022",723,1,1
"Arapahoe County, Colorado","22,783","332,663","334,692","337,985","5,423,545,156","1,245",1,1
"Archuleta County, Colorado",600,"4,103","4,309","4,477","37,311,953",668,1,1
"Baca County, Colorado",116,"1,115","1,120","1,161","8,972,516",610,1,1
"Bent County, Colorado",100,"1,082","1,094","1,095","9,918,267",700,1,1
"Boulder County, Colorado","15,939","186,216","187,707","190,300","3,195,959,909","1,307",1,1
"Broomfield County, Colorado","2,925","40,178","40,509","40,975","949,604,662","1,801",1,1
"Chaffee County, Colorado","1,068","8,000","8,211","9,016","73,729,324",674,1,1
"Cheyenne County, Colorado",91,707,712,734,"7,425,683",796,1,1
"Clear Creek County, Colorado",378,"3,201","3,329","3,145","37,627,650",897,1,1
"Conejos County, Colorado",181,"1,446","1,578","1,651","11,870,983",586,1,1
"Costilla County, Colorado",102,905,920,"1,048","7,636,448",613,1,1
"Crowley County, Colorado",61,"1,084","1,067","1,083","9,941,927",709,1,1
"Custer County, Colorado",153,782,816,829,"6,562,947",624,1,1
"Delta County, Colorado",918,"8,389","8,552","8,762","73,584,820",661,1,1
"Denver County, Colorado","34,429","525,410","527,852","533,305","9,195,949,126","1,338",1,1
"Dolores County, Colorado",87,518,539,559,"4,405,413",629,1,1
"Douglas County, Colorado","12,654","128,791","130,643","133,703","2,124,557,967","1,247",1,1
"Eagle County, Colorado","3,548","34,081","29,946","33,117","374,808,702",890,1,1
"Elbert County, Colorado",707,"3,744","3,788","4,083","41,547,443",825,1,1
"El Paso County, Colorado","20,707","280,700","283,752","285,939","3,597,208,364",976,1,1
"Fremont County, Colorado",946,"13,641","14,047","14,327","131,592,434",723,1,1
"Garfield County, Colorado","2,710","26,191","26,636","27,380","323,890,134",932,1,1
"Gilpin County, Colorado",180,"4,714","4,662","4,769","50,412,316",822,1,1
"Grand County, Colorado",878,"7,445","6,772","7,869","68,280,854",713,1,1
"Gunnison County, Colorado","1,223","8,095","7,992","9,060","78,457,184",720,1,1
"Hinsdale County, Colorado",82,240,261,324,"1,968,603",551,1,1
"Huerfano County, Colorado",177,"1,651","1,710","1,752","13,857,770",625,1,1
"Jackson County, Colorado",87,553,586,626,"5,647,076",738,1,1
"Jefferson County, Colorado","20,835","241,022","243,698","246,537","3,565,380,933","1,125",1,1
"Kiowa County, Colorado",50,480,490,487,"4,266,991",676,1,1
"Kit Carson County, Colorado",298,"2,800","2,900","2,941","26,283,822",702,1,1
"Lake County, Colorado",244,"2,434","2,305","2,391","25,826,117",836,1,1
"La Plata County, Colorado","2,673","25,675","26,114","27,016","303,508,621",889,1,1
"Larimer County, Colorado","12,722","164,177","166,694","168,105","2,112,429,223",977,1,1
"Las Animas County, Colorado",593,"4,987","5,084","5,102","47,331,419",720,1,1
"Lincoln County, Colorado",162,"2,195","2,260","2,305","20,048,431",684,1,1
"Logan County, Colorado",646,"7,974","7,997","7,968","75,849,259",731,1,1
"Mesa County, Colorado","5,076","63,774","64,391","63,903","716,286,881",861,1,1
"Mineral County, Colorado",75,660,491,723,"4,157,668",512,1,1
"Moffat County, Colorado",451,"4,668","4,825","4,843","59,744,856",962,1,1
"Montezuma County, Colorado",936,"9,048","9,386","9,569","84,279,683",695,1,1
"Montrose County, Colorado","1,420","15,381","15,568","15,852","152,920,208",754,1,1
"Morgan County, Colorado",823,"12,673","12,669","12,794","143,240,128",867,1,1
"Otero County, Colorado",507,"6,144","6,167","6,305","58,150,391",721,1,1
"Ouray County, Colorado",342,"1,686","1,867","2,216","17,513,906",701,1,1
"Park County, Colorado",568,"2,416","2,529","2,685","24,068,053",728,1,1
"Phillips County, Colorado",169,"1,645","1,689","1,774","16,364,446",739,1,1
"Pitkin County, Colorado","1,859","17,105","13,588","16,264","215,051,837","1,057",1,1
"Prowers County, Colorado",390,"4,517","4,620","4,597","38,028,711",639,1,1
"Pueblo County, Colorado","3,520","61,988","62,531","62,618","680,278,392",839,1,1
"Rio Blanco County, Colorado",262,"2,835","2,874","2,950","35,872,797",956,1,1
"Rio Grande County, Colorado",438,"3,946","4,211","4,274","40,034,577",743,1,1
"Routt County, Colorado","1,856","15,220","13,888","15,383","164,442,747",853,1,1
"Saguache County, Colorado",208,"1,622","1,673","1,733","13,375,608",614,1,1
"San Juan County, Colorado",80,266,325,424,"2,175,500",495,1,1
"San Miguel County, Colorado",704,"5,518","4,383","5,613","53,324,801",793,1,1
"Sedgwick County, Colorado",91,800,816,839,"7,420,884",698,1,1
"Summit County, Colorado","2,359","22,456","18,811","20,699","208,618,858",777,1,1
"Teller County, Colorado",929,"7,168","7,559","7,606","73,110,031",755,1,1
"Washington County, Colorado",146,"1,213","1,194","1,214","12,363,858",788,1,1
"Weld County, Colorado","7,799","113,450","114,629","115,024","1,489,523,823","1,002",1,1
"Yuma County, Colorado",425,"4,513","4,727","4,759","44,271,090",730,1,1
"Unknown Or Undefined, Colorado","4,781","22,568","23,018","23,716","491,597,998","1,637",1,1
Connecticut,"122,944","1,666,046","1,682,381","1,692,332","27,608,390,264","1,264",1,1
"Fairfield County, Connecticut","36,731","416,228","420,349","425,025","8,558,199,585","1,565",1,1
"Hartford County, Connecticut","29,203","510,173","514,858","517,442","8,416,117,155","1,259",1,1
"Litchfield County, Connecticut","6,191","60,699","61,834","63,051","747,284,921",929,1,1
"Middlesex County, Connecticut","5,496","68,893","70,504","71,512","979,407,985","1,072",1,1
"New Haven County, Connecticut","25,173","366,676","369,242","369,519","5,267,282,756","1,100",1,1
"New London County, Connecticut","7,742","122,902","124,276","125,321","1,702,895,479","1,055",1,1
"Tolland County, Connecticut","3,339","41,584","41,743","40,361","507,926,798",948,1,1
"Windham County, Connecticut","3,048","39,007","39,389","39,494","452,934,378",887,1,1
"Unknown Or Undefined, Connecticut","6,021","39,884","40,186","40,607","976,341,207","1,867",1,1
Delaware,"34,307","450,519","453,671","458,704","6,265,022,086","1,061",1,1
"Kent County, Delaware","4,374","67,967","67,990","67,992","741,250,007",839,1,1
"New Castle County, Delaware","21,258","293,140","293,677","293,921","4,512,916,485","1,182",1,1
"Sussex County, Delaware","7,473","81,762","84,462","89,229","858,752,162",776,1,1
"Unknown Or Undefined, Delaware","1,202","7,650","7,542","7,562","152,103,432","1,543",1,1
District of Columbia,"39,881","774,668","773,940","779,381","17,944,517,898","1,779",1,1
District of Columbia,"39,865","774,596","773,871","779,316","17,942,489,323","1,779",1,1
"Unknown Or Undef., District of Columbia",16,72,69,65,"2,028,575","2,272",1,1
Florida,"712,147","8,905,905","8,895,601","8,732,867","111,313,057,287",968,1,1
"Alachua County, Florida","7,458","135,302","133,794","131,844","1,605,705,816",924,1,1
